title,image,description
Manifestation et graffitis contre Yaël Braun-Pivet à Lyon-III : le ministre de l’enseignement supérieur fait un signalement à la justice,https://img.lemde.fr/2024/11/08/0/0/8256/5504/110/73/60/0/b20fd27_5201820-01-06.jpg,
Enquête sur la face cachée des classements des écoles de commerce,https://img.lemde.fr/2024/11/04/459/49/1396/931/110/73/60/0/2081f86_1730733877264-1-lt.jpg,
Yaël Braun-Pivet visée par des graffitis et des slogans hostiles de manifestants propalestiniens à l’université Lyon-III,https://img.lemde.fr/2024/11/08/0/0/7834/5223/110/73/60/0/a2ed15d_1731094940165-517731.jpg,
"Vendée Globe : les écoles d’ingénieurs, une voie royale pour la course au large",https://img.lemde.fr/2024/11/07/0/214/5838/3892/110/73/60/0/69dab72_1730967267646-caroline-boule-portrait-3.jpg,
"L’accès aux études supérieures, une série d’obstacles pour les étudiants handicapés",https://img.lemde.fr/2024/11/04/0/0/3000/2000/110/73/60/0/1750563_1730716442484-etudiants-handicapes-etudes.jpg,
"Une matière « neutre », l’économie ? Son enseignement suscite la controverse entre professeurs",https://img.lemde.fr/2024/11/01/11/0/886/590/110/73/60/0/d18d619_1730473751039-tableau.jpg,
"« Le Monde » et « Télérama » organisent le Salon des Formations Artistiques, les 7 & 8 décembre 2024",https://img.lemde.fr/2024/10/31/0/127/945/630/110/73/60/0/e97e5df_1730372125195-1200x630-media-appel-2.jpg,
"« Normalement, je n’étais pas censée avoir le brevet, donc, ouais, je suis fière » : à la maison familiale rurale, les filles du coin raccrochent à l’école",https://img.lemde.fr/2024/10/18/159/0/3000/2000/110/73/60/0/ca664b7_1729255207021-img-2445.jpg,
« Le sentiment de désillusion qui frappe les jeunes diplômés d’aujourd’hui sur le marché du travail ressemble fort à celui des jeunes romantiques du XIXᵉ siècle »,https://img.lemde.fr/2024/10/31/0/0/2125/1417/110/73/60/0/1406943_1730385292425-finale-1-le-mal-du-siei-cle.jpg,
"Sciences Po lève la sanction contre quatre étudiants, interdits d’accès à l’établissement après une action en soutien aux Palestiniens",https://img.lemde.fr/2024/05/07/0/0/5700/3800/110/73/60/0/ff24dd8_2024-05-07t115137z-2110992851-rc2nl7a8apcj-rtrmadp-3-israel-palestinians-france-students.JPG,
"Parent, votre enfant a bifurqué radicalement après ses études ? Racontez-nous comment vous l’avez vécu",https://img.lemde.fr/2024/10/31/0/0/6144/4096/110/73/60/0/b9a611b_1730385008927-pns-2127320.jpg,
"« Je suis arrivé depuis un mois, et je connais déjà tout le monde » : dans la petite bulle du campus de Sciences Po Paris à Poitiers",https://img.lemde.fr/2024/10/17/165/0/3968/2645/110/73/60/0/5a0e9cd_1729191753228-img-20190419-102450.jpg,
Sciences Po Strasbourg suspend un partenariat avec une université israélienne,https://img.lemde.fr/2024/10/30/0/0/8400/5600/110/73/60/0/5479a52_1730284796071-000-34qb8ac.jpg,
"A Paris, un nouveau campus pour l’université de Chicago : « La possibilité d’étudier à l’étranger est un argument dans la bataille entre grandes universités américaines »",https://img.lemde.fr/2024/10/28/0/206/787/525/110/73/60/0/86b25d7_1730126312972-university-of-chicago-center-in-paris-corner-view-c-splann-courtesy-studio-gang-cropped.jpg,
Budget 2025 : la commission des finances adopte les repas à un euro pour tous les étudiants,https://img.lemde.fr/2024/10/23/0/0/5899/3933/110/73/60/0/208f3e8_1729719940428-jmug241023079.jpg,
"Les congés menstruels, enjeu de réussite pour les étudiantes, se multiplient dans les universités",https://img.lemde.fr/2024/10/22/0/0/5568/3712/110/73/60/0/9e50dd7_1729610457363-000-33bc2mg.jpg,
"Howard, l’université de Kamala Harris où les étudiants afro-américains rêvent de « briser le plafond de verre »",https://img.lemde.fr/2024/10/25/25/0/2137/1424/110/73/60/0/26078cc_1729834897869-rever-en-grand-hd.jpg,
Sciences Po : le tribunal administratif de Paris rejette la requête des quatre étudiants de réintégrer les locaux,https://img.lemde.fr/2024/10/28/0/0/4276/2851/110/73/60/0/c14be2f_1730106189883-000-34lg97a.jpg,
"Luc Rouban, politiste : « 35 % des membres du gouvernement Michel Barnier sont issus de grandes écoles de commerce »",https://img.lemde.fr/2024/10/14/0/0/5899/3933/110/73/60/0/ab2c5e9_1728922353431-jmug241001010.jpg,
"« J’ai envie que les gens puissent se demander : “Tiens, si je dois me rendre en Amérique du Sud, pourquoi ne pas y aller en bateau ?” »",https://img.lemde.fr/2023/11/07/0/0/3543/2362/110/73/60/0/f45fb73_1699383816451-premiei-re-fois-lemonde-02.jpg,
"Le Groupe Le Monde organise le Salon des MBA et Executive Masters, mardi 26 novembre 2024",https://img.lemde.fr/2024/10/24/0/127/945/630/110/73/60/0/a541362_1729794785527-1200x630-media-appel.jpg,
Les doyens de faculté de pharmacie appellent à créer une nouvelle voie de recrutement sur Parcoursup,,
"A Sciences Po, quatre étudiants suspendus saisissent le tribunal administratif",https://img.lemde.fr/2024/10/24/162/0/7857/5238/110/73/60/0/b6eb64c_1729757274943-000-34qq2q3.jpg,
"Dans les écoles de commerce, le recours controversé aux cours en visioconférence : « Je le voyais comme un “truc facultatif” »",https://img.lemde.fr/2024/10/17/94/0/3969/2646/110/73/60/0/0cfeeb6_1729176680813-signatures-026197-016.jpg,
La nécessaire refonte du Pass culture,https://img.lemde.fr/2024/10/23/3/0/5900/3933/110/73/60/0/13e3644_1729668513062-jmug240923206.jpg,
« On a atteint un point quasi ingérable » : les universitaires croulent sous les heures complémentaires,https://img.lemde.fr/2024/10/23/610/0/4700/3133/110/73/60/0/ee74513_1729663697164-pns-2117947.jpg,
Education : les groupes de besoins pourraient ne pas être étendus aux classes de 4ᵉ et de 3ᵉ,https://img.lemde.fr/2024/10/22/0/0/5001/3334/110/73/60/0/89475ba_1729611375650-000-36k94xz.jpg,
"Recours massif aux enseignants précaires : « La réalité, c’est que l’université n’a plus les moyens de fonctionner »",https://img.lemde.fr/2024/10/21/25/0/2137/1424/110/73/60/0/07121be_1729515677057-campus-23-octobre.jpg,
« L’IAE est une valeur sûre » : l’alternative publique aux écoles de commerce séduit les étudiants et les entreprises,https://img.lemde.fr/2024/10/11/1/0/5480/3653/110/73/60/0/80831f9_1728635325205-iaelyon-2.jpg,
« Mes parents avaient lancé leur gamin dans la vie et je revenais frapper à leur porte »,https://img.lemde.fr/2022/09/22/0/0/3543/2362/110/73/60/0/8bf0863_1663835540624-le-monde-campus-colo-v02.jpg,
"La mort de Jany Gastaldi, comédienne emblématique du théâtre d’Antoine Vitez",https://img.lemde.fr/2024/11/26/775/1569/3372/2248/110/73/60/0/abc1555_1732610840888-grk6480665.jpg,
"Magali, la reconstruction d’une mère célibataire : « Une marche après l’autre, on repart de zéro »",https://img.lemde.fr/2024/11/20/187/0/4500/3000/110/73/60/0/6edf1fe_1732112288599-photo-poissy-loubat-29.jpg,
"La cote d’amour des love rooms, ces locations érotiques qui fleurissent en France",https://img.lemde.fr/2024/11/12/0/0/4800/3200/110/73/60/0/f2f8412_1731420180475-maxnewsworldsix114199.jpg,
